indicator_code,dx,technical_area,technical_area_uid,num_or_den,num_or_den_uid,disagg_type,disagg_type_uid,pe,age_set,sex_set,kp_set,other_disagg,allocate
GEND_GBV.PE.T,DE_GROUP-OuKFZzVk6gr,GEND_GBV,vw3VoiA4D0s,Numerator,Som9NRMQqV7,ViolenceServiceType,QEpxdKlM3zh,2022Oct,NA,NA,NA,vt_pe,distribute
GEND_GBV.S.T,DE_GROUP-OuKFZzVk6gr,GEND_GBV,vw3VoiA4D0s,Numerator,Som9NRMQqV7,ViolenceServiceType,QEpxdKlM3zh,2022Oct,NA,NA,NA,vt_sv,distribute
HTS_INDEX_COM.New.Neg.T,DE_GROUP-OuKFZzVk6gr,HTS_INDEX,CUblPgOMGaT,Numerator,Som9NRMQqV7,IndexMod/Age/Sex/Result,xds87opkbem,2022Oct,fy24_age_bands,F/M,NA,tss_NewNeg,distribute
HTS_INDEX_COM.New.Pos.T,DE_GROUP-OuKFZzVk6gr,HTS_INDEX,CUblPgOMGaT,Numerator,Som9NRMQqV7,IndexMod/Age/Sex/Result,xds87opkbem,2022Oct,fy24_age_bands,F/M,NA,tss_NewPos,distribute
HTS_RECENT.IndexCom.T,DE_GROUP-OuKFZzVk6gr,HTS_RECENT,twyHxdQVjMC,Numerator,Som9NRMQqV7,IndexMod/Age/Sex/HIVStatus,cnlEjFkl5UZ,2022Oct,fy24_age_bands,F/M,NA,NA,distribute
HTS_INDEX_FAC.New.Neg.T,DE_GROUP-OuKFZzVk6gr,HTS_INDEX,CUblPgOMGaT,Numerator,Som9NRMQqV7,Index/Age/Sex/Result,zzNslrLngKi,2022Oct,fy24_age_bands,F/M,NA,tss_NewNeg,distribute
HTS_INDEX_FAC.New.Pos.T,DE_GROUP-OuKFZzVk6gr,HTS_INDEX,CUblPgOMGaT,Numerator,Som9NRMQqV7,Index/Age/Sex/Result,zzNslrLngKi,2022Oct,fy24_age_bands,F/M,NA,tss_NewPos,distribute
HTS_RECENT.IndexFac.T,DE_GROUP-OuKFZzVk6gr,HTS_RECENT,twyHxdQVjMC,Numerator,Som9NRMQqV7,Index/Age/Sex/HIVStatus,Tpc0Ztxae9H,2022Oct,fy24_age_bands,F/M,NA,NA,distribute
HTS_SELF.T,DE_GROUP-OuKFZzVk6gr,HTS_SELF,hGUykTtC0Xm,Numerator,Som9NRMQqV7,Age/Sex,Qbz6SrpmJ1y,2022Oct,fy24_age_bands,F/M,NA,NA,distribute
HTS_TST.EW.Neg.T,DE_GROUP-OuKFZzVk6gr,HTS_TST,f5IPTM7mieH,Numerator,Som9NRMQqV7,Emergency Ward/Age/Sex/Result,iPfNX6Ylqp1,2022Oct,fy24_age_bands,F/M,NA,tr_neg,distribute
